2018-05-09T18:14:49.422Z - info: redis                :  connection error, retry attempt: 1
2018-05-09T18:14:49.425Z - info: redis                :  connection error, retry attempt: 1
2018-05-09T18:14:49.529Z - info: redis                :  connection error, retry attempt: 2
2018-05-09T18:14:49.530Z - info: redis                :  connection error, retry attempt: 2
2018-05-09T18:14:49.736Z - info: redis                :  connection error, retry attempt: 3
2018-05-09T18:14:49.736Z - info: redis                :  connection error, retry attempt: 3
2018-05-09T18:14:50.042Z - info: redis                :  connection error, retry attempt: 4
2018-05-09T18:14:50.042Z - info: redis                :  connection error, retry attempt: 4
2018-05-09T18:14:50.444Z - info: redis                :  connection error, retry attempt: 5
2018-05-09T18:14:50.445Z - info: redis                :  connection error, retry attempt: 5
2018-05-09T18:15:08.919Z - info: redis                :  connection error, retry attempt: 1
2018-05-09T18:15:08.921Z - info: redis                :  connection error, retry attempt: 1
2018-05-09T18:15:09.025Z - info: redis                :  connection error, retry attempt: 2
2018-05-09T18:15:09.025Z - info: redis                :  connection error, retry attempt: 2
2018-05-09T18:15:09.227Z - info: redis                :  connection error, retry attempt: 3
2018-05-09T18:15:09.227Z - info: redis                :  connection error, retry attempt: 3
2018-05-09T18:15:09.529Z - info: redis                :  connection error, retry attempt: 4
2018-05-09T18:15:09.529Z - info: redis                :  connection error, retry attempt: 4
2018-05-09T18:15:50.291Z - info: redis                :  connection error, retry attempt: 1
2018-05-09T18:15:50.293Z - info: redis                :  connection error, retry attempt: 1
2018-05-09T18:15:50.397Z - info: redis                :  connection error, retry attempt: 2
2018-05-09T18:15:50.398Z - info: redis                :  connection error, retry attempt: 2
2018-05-09T18:15:50.603Z - info: redis                :  connection error, retry attempt: 3
2018-05-09T18:15:50.604Z - info: redis                :  connection error, retry attempt: 3
2018-05-09T18:15:50.909Z - info: redis                :  connection error, retry attempt: 4
2018-05-09T18:15:50.910Z - info: redis                :  connection error, retry attempt: 4
2018-05-09T21:53:27.092Z - info: redis                :  connection error, retry attempt: 1
2018-05-09T21:53:27.094Z - info: redis                :  connection error, retry attempt: 1
2018-05-09T21:53:27.202Z - info: redis                :  connection error, retry attempt: 2
2018-05-09T21:53:27.202Z - info: redis                :  connection error, retry attempt: 2
2018-05-09T21:53:27.405Z - info: redis                :  connection error, retry attempt: 3
2018-05-09T21:53:27.406Z - info: redis                :  connection error, retry attempt: 3
2018-05-09T21:53:27.707Z - info: redis                :  connection error, retry attempt: 4
2018-05-09T21:53:27.708Z - info: redis                :  connection error, retry attempt: 4
2018-05-09T21:53:28.113Z - info: redis                :  connection error, retry attempt: 5
2018-05-09T21:53:28.114Z - info: redis                :  connection error, retry attempt: 5
2018-05-09T21:53:28.619Z - info: redis                :  connection error, retry attempt: 6
2018-05-09T21:53:28.620Z - info: redis                :  connection error, retry attempt: 6
2018-05-09T21:53:29.223Z - info: redis                :  connection error, retry attempt: 7
2018-05-09T21:53:29.223Z - info: redis                :  connection error, retry attempt: 7
2018-05-09T21:53:29.930Z - info: redis                :  connection error, retry attempt: 8
2018-05-09T21:53:29.930Z - info: redis                :  connection error, retry attempt: 8
2018-05-09T21:54:09.835Z - info: redis                :  connection error, retry attempt: 1
2018-05-09T21:54:09.837Z - info: redis                :  connection error, retry attempt: 1
2018-05-09T21:54:09.945Z - info: redis                :  connection error, retry attempt: 2
2018-05-09T21:54:09.946Z - info: redis                :  connection error, retry attempt: 2
2018-05-09T21:54:10.153Z - info: redis                :  connection error, retry attempt: 3
2018-05-09T21:54:10.154Z - info: redis                :  connection error, retry attempt: 3
2018-05-09T21:54:10.458Z - info: redis                :  connection error, retry attempt: 4
2018-05-09T21:54:10.458Z - info: redis                :  connection error, retry attempt: 4
2018-05-09T21:54:10.862Z - info: redis                :  connection error, retry attempt: 5
2018-05-09T21:54:10.863Z - info: redis                :  connection error, retry attempt: 5
2018-05-09T21:54:11.367Z - info: redis                :  connection error, retry attempt: 6
2018-05-09T21:54:11.367Z - info: redis                :  connection error, retry attempt: 6
